   1: notes = 100000000000, scaleid = A01, rotationid = 0, modeid = A001, inverse = A001, scalename = C
1535: notes = 111111010010, scaleid = H07, rotationid = 0, modeid = H008, inverse = H293, scalename = 11111232
1536: notes = 111110100101, scaleid = H07, rotationid = 1, modeid = H024, inverse = H181, scalename = 11112321
1537: notes = 111101001011, scaleid = H07, rotationid = 2, modeid = H054, inverse = H104, scalename = 11123211
1538: notes = 111010010111, scaleid = H07, rotationid = 3, modeid = H104, inverse = H054, scalename = 11232111
1539: notes = 110100101111, scaleid = H07, rotationid = 4, modeid = H181, inverse = H024, scalename = 12321111
1540: notes = 101001011111, scaleid = H07, rotationid = 5, modeid = H293, inverse = H008, scalename = 23211111
1541: notes = 100101111110, scaleid = H07, rotationid = 6, modeid = H316, inverse = H212, scalename = 32111112
1542: notes = 101111110100, scaleid = H07, rotationid = 7, modeid = H212, inverse = H316, scalename = 21111123
1543: notes = 111111001100, scaleid = H08, rotationid = 0, modeid = H010, inverse = H315, scalename = 11111313
1544: notes = 111110011001, scaleid = H08, rotationid = 1, modeid = H028, inverse = H197, scalename = 11113131
1545: notes = 111100110011, scaleid = H08, rotationid = 2, modeid = H061, inverse = H115, scalename = 11131311
1546: notes = 111001100111, scaleid = H08, rotationid = 3, modeid = H115, inverse = H061, scalename = 11313111
1547: notes = 110011001111, scaleid = H08, rotationid = 4, modeid = H197, inverse = H028, scalename = 13131111
1548: notes = 100110011111, scaleid = H08, rotationid = 5, modeid = H315, inverse = H010, scalename = 31311111
1549: notes = 110011111100, scaleid = H08, rotationid = 6, modeid = H183, inverse = H297, scalename = 13111113
1550: notes = 100111111001, scaleid = H08, rotationid = 7, modeid = H297, inverse = H183, scalename = 31111131
1551: notes = 111111001010, scaleid = H09, rotationid = 0, modeid = H011, inverse = H287, scalename = 11111322
1552: notes = 111110010101, scaleid = H09, rotationid = 1, modeid = H030, inverse = H176, scalename = 11113221
1553: notes = 111100101011, scaleid = H09, rotationid = 2, modeid = H064, inverse = H100, scalename = 11132211
1554: notes = 111001010111, scaleid = H09, rotationid = 3, modeid = H119, inverse = H051, scalename = 11322111
1555: notes = 110010101111, scaleid = H09, rotationid = 4, modeid = H202, inverse = H022, scalename = 13221111
1556: notes = 100101011111, scaleid = H09, rotationid = 5, modeid = H321, inverse = H007, scalename = 32211111
1557: notes = 101011111100, scaleid = H09, rotationid = 6, modeid = H267, inverse = H296, scalename = 22111113
1558: notes = 101111110010, scaleid = H09, rotationid = 7, modeid = H213, inverse = H288, scalename = 21111132
1559: notes = 111111000110, scaleid = H10, rotationid = 0, modeid = H013, inverse = H266, scalename = 11111412
1560: notes = 111110001101, scaleid = H10, rotationid = 1, modeid = H033, inverse = H161, scalename = 11114121
1561: notes = 111100011011, scaleid = H10, rotationid = 2, modeid = H068, inverse = H090, scalename = 11141211
1562: notes = 111000110111, scaleid = H10, rotationid = 3, modeid = H124, inverse = H045, scalename = 11412111
1563: notes = 110001101111, scaleid = H10, rotationid = 4, modeid = H208, inverse = H019, scalename = 14121111
1564: notes = 100011011111, scaleid = H10, rotationid = 5, modeid = H328, inverse = H006, scalename = 41211111
1565: notes = 110111111000, scaleid = H10, rotationid = 6, modeid = H127, inverse = H324, scalename = 12111114
1566: notes = 101111110001, scaleid = H10, rotationid = 7, modeid = H214, inverse = H204, scalename = 21111141
1567: notes = 111110111000, scaleid = H11, rotationid = 0, modeid = H016, inverse = H327, scalename = 11112114
1568: notes = 111101110001, scaleid = H11, rotationid = 1, modeid = H039, inverse = H207, scalename = 11121141
1569: notes = 111011100011, scaleid = H11, rotationid = 2, modeid = H080, inverse = H123, scalename = 11211411
1570: notes = 110111000111, scaleid = H11, rotationid = 3, modeid = H146, inverse = H067, scalename = 12114111
1571: notes = 101110001111, scaleid = H11, rotationid = 4, modeid = H245, inverse = H032, scalename = 21141111
1572: notes = 111000111110, scaleid = H11, rotationid = 5, modeid = H121, inverse = H220, scalename = 11411112
1573: notes = 110001111101, scaleid = H11, rotationid = 6, modeid = H205, inverse = H130, scalename = 14111121
1574: notes = 100011111011, scaleid = H11, rotationid = 7, modeid = H325, inverse = H071, scalename = 41111211
1575: notes = 111110110100, scaleid = H12, rotationid = 0, modeid = H017, inverse = H320, scalename = 11112123
1576: notes = 111101101001, scaleid = H12, rotationid = 1, modeid = H042, inverse = H201, scalename = 11121231
1577: notes = 111011010011, scaleid = H12, rotationid = 2, modeid = H086, inverse = H118, scalename = 11212311
1578: notes = 110110100111, scaleid = H12, rotationid = 3, modeid = H156, inverse = H063, scalename = 12123111
1579: notes = 101101001111, scaleid = H12, rotationid = 4, modeid = H260, inverse = H029, scalename = 21231111
1580: notes = 110100111110, scaleid = H12, rotationid = 5, modeid = H177, inverse = H219, scalename = 12311112
1581: notes = 101001111101, scaleid = H12, rotationid = 6, modeid = H289, inverse = H129, scalename = 23111121
1582: notes = 100111110110, scaleid = H12, rotationid = 7, modeid = H298, inverse = H246, scalename = 31111212
1583: notes = 111110110010, scaleid = H13, rotationid = 0, modeid = H018, inverse = H292, scalename = 11112132
1584: notes = 111101100101, scaleid = H13, rotationid = 1, modeid = H044, inverse = H180, scalename = 11121321
1585: notes = 111011001011, scaleid = H13, rotationid = 2, modeid = H089, inverse = H103, scalename = 11213211
1586: notes = 110110010111, scaleid = H13, rotationid = 3, modeid = H160, inverse = H053, scalename = 12132111
1587: notes = 101100101111, scaleid = H13, rotationid = 4, modeid = H265, inverse = H023, scalename = 21321111
1588: notes = 110010111110, scaleid = H13, rotationid = 5, modeid = H198, inverse = H217, scalename = 13211112
1589: notes = 100101111101, scaleid = H13, rotationid = 6, modeid = H317, inverse = H128, scalename = 32111121
1590: notes = 101111101100, scaleid = H13, rotationid = 7, modeid = H215, inverse = H310, scalename = 21111213
1591: notes = 111110101100, scaleid = H14, rotationid = 0, modeid = H020, inverse = H314, scalename = 11112213
1592: notes = 111101011001, scaleid = H14, rotationid = 1, modeid = H048, inverse = H196, scalename = 11122131
1593: notes = 111010110011, scaleid = H14, rotationid = 2, modeid = H096, inverse = H114, scalename = 11221311
1594: notes = 110101100111, scaleid = H14, rotationid = 3, modeid = H171, inverse = H060, scalename = 12213111
1595: notes = 101011001111, scaleid = H14, rotationid = 4, modeid = H281, inverse = H027, scalename = 22131111
1596: notes = 101100111110, scaleid = H14, rotationid = 5, modeid = H261, inverse = H218, scalename = 21311112
1597: notes = 110011111010, scaleid = H14, rotationid = 6, modeid = H184, inverse = H269, scalename = 13111122
1598: notes = 100111110101, scaleid = H14, rotationid = 7, modeid = H299, inverse = H162, scalename = 31111221
1599: notes = 111110101010, scaleid = H15, rotationid = 0, modeid = H021, inverse = H286, scalename = 11112222
1600: notes = 111101010101, scaleid = H15, rotationid = 1, modeid = H050, inverse = H175, scalename = 11122221
1601: notes = 111010101011, scaleid = H15, rotationid = 2, modeid = H099, inverse = H099, scalename = 11222211
1602: notes = 110101010111, scaleid = H15, rotationid = 3, modeid = H175, inverse = H050, scalename = 12222111
1603: notes = 101010101111, scaleid = H15, rotationid = 4, modeid = H286, inverse = H021, scalename = 22221111
1604: notes = 101010111110, scaleid = H15, rotationid = 5, modeid = H282, inverse = H216, scalename = 22211112
1605: notes = 101011111010, scaleid = H15, rotationid = 6, modeid = H268, inverse = H268, scalename = 22111122
1606: notes = 101111101010, scaleid = H15, rotationid = 7, modeid = H216, inverse = H282, scalename = 21111222
1607: notes = 111110100110, scaleid = H16, rotationid = 0, modeid = H023, inverse = H265, scalename = 11112312
1608: notes = 111101001101, scaleid = H16, rotationid = 1, modeid = H053, inverse = H160, scalename = 11123121
1609: notes = 111010011011, scaleid = H16, rotationid = 2, modeid = H103, inverse = H089, scalename = 11231211
1610: notes = 110100110111, scaleid = H16, rotationid = 3, modeid = H180, inverse = H044, scalename = 12312111
1611: notes = 101001101111, scaleid = H16, rotationid = 4, modeid = H292, inverse = H018, scalename = 23121111
1612: notes = 100110111110, scaleid = H16, rotationid = 5, modeid = H310, inverse = H215, scalename = 31211112
1613: notes = 110111110100, scaleid = H16, rotationid = 6, modeid = H128, inverse = H317, scalename = 12111123
1614: notes = 101111101001, scaleid = H16, rotationid = 7, modeid = H217, inverse = H198, scalename = 21111231
1615: notes = 111110011100, scaleid = H17, rotationid = 0, modeid = H026, inverse = H309, scalename = 11113113
1616: notes = 111100111001, scaleid = H17, rotationid = 1, modeid = H058, inverse = H192, scalename = 11131131
1617: notes = 111001110011, scaleid = H17, rotationid = 2, modeid = H111, inverse = H111, scalename = 11311311
1618: notes = 110011100111, scaleid = H17, rotationid = 3, modeid = H192, inverse = H058, scalename = 13113111
1619: notes = 100111001111, scaleid = H17, rotationid = 4, modeid = H309, inverse = H026, scalename = 31131111
1620: notes = 111001111100, scaleid = H17, rotationid = 5, modeid = H106, inverse = H300, scalename = 11311113
1621: notes = 110011111001, scaleid = H17, rotationid = 6, modeid = H185, inverse = H185, scalename = 13111131
1622: notes = 100111110011, scaleid = H17, rotationid = 7, modeid = H300, inverse = H106, scalename = 31111311
1623: notes = 111110011010, scaleid = H18, rotationid = 0, modeid = H027, inverse = H281, scalename = 11113122
1624: notes = 111100110101, scaleid = H18, rotationid = 1, modeid = H060, inverse = H171, scalename = 11131221
1625: notes = 111001101011, scaleid = H18, rotationid = 2, modeid = H114, inverse = H096, scalename = 11312211
1626: notes = 110011010111, scaleid = H18, rotationid = 3, modeid = H196, inverse = H048, scalename = 13122111
1627: notes = 100110101111, scaleid = H18, rotationid = 4, modeid = H314, inverse = H020, scalename = 31221111
1628: notes = 110101111100, scaleid = H18, rotationid = 5, modeid = H162, inverse = H299, scalename = 12211113
1629: notes = 101011111001, scaleid = H18, rotationid = 6, modeid = H269, inverse = H184, scalename = 22111131
1630: notes = 101111100110, scaleid = H18, rotationid = 7, modeid = H218, inverse = H261, scalename = 21111312
1631: notes = 111110010110, scaleid = H19, rotationid = 0, modeid = H029, inverse = H260, scalename = 11113212
1632: notes = 111100101101, scaleid = H19, rotationid = 1, modeid = H063, inverse = H156, scalename = 11132121
1633: notes = 111001011011, scaleid = H19, rotationid = 2, modeid = H118, inverse = H086, scalename = 11321211
1634: notes = 110010110111, scaleid = H19, rotationid = 3, modeid = H201, inverse = H042, scalename = 13212111
1635: notes = 100101101111, scaleid = H19, rotationid = 4, modeid = H320, inverse = H017, scalename = 32121111
1636: notes = 101101111100, scaleid = H19, rotationid = 5, modeid = H246, inverse = H298, scalename = 21211113
1637: notes = 110111110010, scaleid = H19, rotationid = 6, modeid = H129, inverse = H289, scalename = 12111132
1638: notes = 101111100101, scaleid = H19, rotationid = 7, modeid = H219, inverse = H177, scalename = 21111321
1639: notes = 111110001110, scaleid = H20, rotationid = 0, modeid = H032, inverse = H245, scalename = 11114112
1640: notes = 111100011101, scaleid = H20, rotationid = 1, modeid = H067, inverse = H146, scalename = 11141121
1641: notes = 111000111011, scaleid = H20, rotationid = 2, modeid = H123, inverse = H080, scalename = 11411211
1642: notes = 110001110111, scaleid = H20, rotationid = 3, modeid = H207, inverse = H039, scalename = 14112111
1643: notes = 100011101111, scaleid = H20, rotationid = 4, modeid = H327, inverse = H016, scalename = 41121111
1644: notes = 111011111000, scaleid = H20, rotationid = 5, modeid = H071, inverse = H325, scalename = 11211114
1645: notes = 110111110001, scaleid = H20, rotationid = 6, modeid = H130, inverse = H205, scalename = 12111141
1646: notes = 101111100011, scaleid = H20, rotationid = 7, modeid = H220, inverse = H121, scalename = 21111411
1647: notes = 111101111000, scaleid = H21, rotationid = 0, modeid = H036, inverse = H326, scalename = 11121114
1648: notes = 111011110001, scaleid = H21, rotationid = 1, modeid = H074, inverse = H206, scalename = 11211141
1649: notes = 110111100011, scaleid = H21, rotationid = 2, modeid = H136, inverse = H122, scalename = 12111411
1650: notes = 101111000111, scaleid = H21, rotationid = 3, modeid = H230, inverse = H066, scalename = 21114111
1651: notes = 111100011110, scaleid = H21, rotationid = 4, modeid = H066, inverse = H230, scalename = 11141112
1652: notes = 111000111101, scaleid = H21, rotationid = 5, modeid = H122, inverse = H136, scalename = 11411121
1653: notes = 110001111011, scaleid = H21, rotationid = 6, modeid = H206, inverse = H074, scalename = 14111211
1654: notes = 100011110111, scaleid = H21, rotationid = 7, modeid = H326, inverse = H036, scalename = 41112111
1655: notes = 111101110100, scaleid = H22, rotationid = 0, modeid = H037, inverse = H319, scalename = 11121123
1656: notes = 111011101001, scaleid = H22, rotationid = 1, modeid = H077, inverse = H200, scalename = 11211231
1657: notes = 110111010011, scaleid = H22, rotationid = 2, modeid = H142, inverse = H117, scalename = 12112311
1658: notes = 101110100111, scaleid = H22, rotationid = 3, modeid = H240, inverse = H062, scalename = 21123111
1659: notes = 111010011110, scaleid = H22, rotationid = 4, modeid = H101, inverse = H229, scalename = 11231112
1660: notes = 110100111101, scaleid = H22, rotationid = 5, modeid = H178, inverse = H135, scalename = 12311121
1661: notes = 101001111011, scaleid = H22, rotationid = 6, modeid = H290, inverse = H073, scalename = 23111211
1662: notes = 100111101110, scaleid = H22, rotationid = 7, modeid = H301, inverse = H231, scalename = 31112112
1663: notes = 111101110010, scaleid = H23, rotationid = 0, modeid = H038, inverse = H291, scalename = 11121132
1664: notes = 111011100101, scaleid = H23, rotationid = 1, modeid = H079, inverse = H179, scalename = 11211321
1665: notes = 110111001011, scaleid = H23, rotationid = 2, modeid = H145, inverse = H102, scalename = 12113211
1666: notes = 101110010111, scaleid = H23, rotationid = 3, modeid = H244, inverse = H052, scalename = 21132111
1667: notes = 111001011110, scaleid = H23, rotationid = 4, modeid = H116, inverse = H226, scalename = 11321112
1668: notes = 110010111101, scaleid = H23, rotationid = 5, modeid = H199, inverse = H133, scalename = 13211121
1669: notes = 100101111011, scaleid = H23, rotationid = 6, modeid = H318, inverse = H072, scalename = 32111211
1670: notes = 101111011100, scaleid = H23, rotationid = 7, modeid = H221, inverse = H305, scalename = 21112113
1671: notes = 111101101100, scaleid = H24, rotationid = 0, modeid = H040, inverse = H313, scalename = 11121213
1672: notes = 111011011001, scaleid = H24, rotationid = 1, modeid = H083, inverse = H195, scalename = 11212131
1673: notes = 110110110011, scaleid = H24, rotationid = 2, modeid = H152, inverse = H113, scalename = 12121311
1674: notes = 101101100111, scaleid = H24, rotationid = 3, modeid = H255, inverse = H059, scalename = 21213111
1675: notes = 110110011110, scaleid = H24, rotationid = 4, modeid = H157, inverse = H228, scalename = 12131112
1676: notes = 101100111101, scaleid = H24, rotationid = 5, modeid = H262, inverse = H134, scalename = 21311121
1677: notes = 110011110110, scaleid = H24, rotationid = 6, modeid = H186, inverse = H248, scalename = 13111212
1678: notes = 100111101101, scaleid = H24, rotationid = 7, modeid = H302, inverse = H147, scalename = 31112121
1679: notes = 111101101010, scaleid = H25, rotationid = 0, modeid = H041, inverse = H285, scalename = 11121222
1680: notes = 111011010101, scaleid = H25, rotationid = 1, modeid = H085, inverse = H174, scalename = 11212221
1681: notes = 110110101011, scaleid = H25, rotationid = 2, modeid = H155, inverse = H098, scalename = 12122211
1682: notes = 101101010111, scaleid = H25, rotationid = 3, modeid = H259, inverse = H049, scalename = 21222111
1683: notes = 110101011110, scaleid = H25, rotationid = 4, modeid = H172, inverse = H225, scalename = 12221112
1684: notes = 101010111101, scaleid = H25, rotationid = 5, modeid = H283, inverse = H132, scalename = 22211121
1685: notes = 101011110110, scaleid = H25, rotationid = 6, modeid = H270, inverse = H247, scalename = 22111212
1686: notes = 101111011010, scaleid = H25, rotationid = 7, modeid = H222, inverse = H277, scalename = 21112122
1687: notes = 111101100110, scaleid = H26, rotationid = 0, modeid = H043, inverse = H264, scalename = 11121312
1688: notes = 111011001101, scaleid = H26, rotationid = 1, modeid = H088, inverse = H159, scalename = 11213121
1689: notes = 110110011011, scaleid = H26, rotationid = 2, modeid = H159, inverse = H088, scalename = 12131211
1690: notes = 101100110111, scaleid = H26, rotationid = 3, modeid = H264, inverse = H043, scalename = 21312111
1691: notes = 110011011110, scaleid = H26, rotationid = 4, modeid = H193, inverse = H223, scalename = 13121112
1692: notes = 100110111101, scaleid = H26, rotationid = 5, modeid = H311, inverse = H131, scalename = 31211121
1693: notes = 110111101100, scaleid = H26, rotationid = 6, modeid = H131, inverse = H311, scalename = 12111213
1694: notes = 101111011001, scaleid = H26, rotationid = 7, modeid = H223, inverse = H193, scalename = 21112131
1695: notes = 111101011100, scaleid = H27, rotationid = 0, modeid = H046, inverse = H308, scalename = 11122113
1696: notes = 111010111001, scaleid = H27, rotationid = 1, modeid = H093, inverse = H191, scalename = 11221131
1697: notes = 110101110011, scaleid = H27, rotationid = 2, modeid = H167, inverse = H110, scalename = 12211311
1698: notes = 101011100111, scaleid = H27, rotationid = 3, modeid = H276, inverse = H057, scalename = 22113111
1699: notes = 101110011110, scaleid = H27, rotationid = 4, modeid = H241, inverse = H227, scalename = 21131112
1700: notes = 111001111010, scaleid = H27, rotationid = 5, modeid = H107, inverse = H272, scalename = 11311122
1701: notes = 110011110101, scaleid = H27, rotationid = 6, modeid = H187, inverse = H164, scalename = 13111221
1702: notes = 100111101011, scaleid = H27, rotationid = 7, modeid = H303, inverse = H091, scalename = 31112211
1703: notes = 111101011010, scaleid = H28, rotationid = 0, modeid = H047, inverse = H280, scalename = 11122122
1704: notes = 111010110101, scaleid = H28, rotationid = 1, modeid = H095, inverse = H170, scalename = 11221221
1705: notes = 110101101011, scaleid = H28, rotationid = 2, modeid = H170, inverse = H095, scalename = 12212211
1706: notes = 101011010111, scaleid = H28, rotationid = 3, modeid = H280, inverse = H047, scalename = 22122111
1707: notes = 101101011110, scaleid = H28, rotationid = 4, modeid = H256, inverse = H224, scalename = 21221112
1708: notes = 110101111010, scaleid = H28, rotationid = 5, modeid = H163, inverse = H271, scalename = 12211122
1709: notes = 101011110101, scaleid = H28, rotationid = 6, modeid = H271, inverse = H163, scalename = 22111221
1710: notes = 101111010110, scaleid = H28, rotationid = 7, modeid = H224, inverse = H256, scalename = 21112212
1711: notes = 111101010110, scaleid = H29, rotationid = 0, modeid = H049, inverse = H259, scalename = 11122212
1712: notes = 111010101101, scaleid = H29, rotationid = 1, modeid = H098, inverse = H155, scalename = 11222121
1713: notes = 110101011011, scaleid = H29, rotationid = 2, modeid = H174, inverse = H085, scalename = 12221211
1714: notes = 101010110111, scaleid = H29, rotationid = 3, modeid = H285, inverse = H041, scalename = 22212111
1715: notes = 101011011110, scaleid = H29, rotationid = 4, modeid = H277, inverse = H222, scalename = 22121112
1716: notes = 101101111010, scaleid = H29, rotationid = 5, modeid = H247, inverse = H270, scalename = 21211122
1717: notes = 110111101010, scaleid = H29, rotationid = 6, modeid = H132, inverse = H283, scalename = 12111222
1718: notes = 101111010101, scaleid = H29, rotationid = 7, modeid = H225, inverse = H172, scalename = 21112221
1719: notes = 111101001110, scaleid = H30, rotationid = 0, modeid = H052, inverse = H244, scalename = 11123112
1720: notes = 111010011101, scaleid = H30, rotationid = 1, modeid = H102, inverse = H145, scalename = 11231121
1721: notes = 110100111011, scaleid = H30, rotationid = 2, modeid = H179, inverse = H079, scalename = 12311211
1722: notes = 101001110111, scaleid = H30, rotationid = 3, modeid = H291, inverse = H038, scalename = 23112111
1723: notes = 100111011110, scaleid = H30, rotationid = 4, modeid = H305, inverse = H221, scalename = 31121112
1724: notes = 111011110100, scaleid = H30, rotationid = 5, modeid = H072, inverse = H318, scalename = 11211123
1725: notes = 110111101001, scaleid = H30, rotationid = 6, modeid = H133, inverse = H199, scalename = 12111231
1726: notes = 101111010011, scaleid = H30, rotationid = 7, modeid = H226, inverse = H116, scalename = 21112311
1727: notes = 111100111100, scaleid = H31, rotationid = 0, modeid = H056, inverse = H304, scalename = 11131113
1728: notes = 111001111001, scaleid = H32, rotationid = 1, modeid = H108, inverse = H188, scalename = 11311131
1729: notes = 110011110011, scaleid = H32, rotationid = 2, modeid = H188, inverse = H108, scalename = 13111311
1730: notes = 100111100111, scaleid = H33, rotationid = 3, modeid = H304, inverse = H056, scalename = 31113111
1731: notes = 111100111010, scaleid = H32, rotationid = 0, modeid = H057, inverse = H276, scalename = 11131122
1732: notes = 111001110101, scaleid = H32, rotationid = 1, modeid = H110, inverse = H167, scalename = 11311221
1733: notes = 110011101011, scaleid = H32, rotationid = 2, modeid = H191, inverse = H093, scalename = 13112211
1734: notes = 100111010111, scaleid = H32, rotationid = 3, modeid = H308, inverse = H046, scalename = 31122111
1735: notes = 111010111100, scaleid = H32, rotationid = 4, modeid = H091, inverse = H303, scalename = 11221113
1736: notes = 110101111001, scaleid = H32, rotationid = 5, modeid = H164, inverse = H187, scalename = 12211131
1737: notes = 101011110011, scaleid = H32, rotationid = 6, modeid = H272, inverse = H107, scalename = 22111311
1738: notes = 101111001110, scaleid = H32, rotationid = 7, modeid = H227, inverse = H241, scalename = 21113112
1739: notes = 111100110110, scaleid = H33, rotationid = 0, modeid = H059, inverse = H255, scalename = 11131212
1740: notes = 111001101101, scaleid = H33, rotationid = 1, modeid = H113, inverse = H152, scalename = 11312121
1741: notes = 110011011011, scaleid = H33, rotationid = 2, modeid = H195, inverse = H083, scalename = 13121211
1742: notes = 100110110111, scaleid = H33, rotationid = 3, modeid = H313, inverse = H040, scalename = 31212111
1743: notes = 110110111100, scaleid = H33, rotationid = 4, modeid = H147, inverse = H302, scalename = 12121113
1744: notes = 101101111001, scaleid = H33, rotationid = 5, modeid = H248, inverse = H186, scalename = 21211131
1745: notes = 110111100110, scaleid = H33, rotationid = 6, modeid = H134, inverse = H262, scalename = 12111312
1746: notes = 101111001101, scaleid = H33, rotationid = 7, modeid = H228, inverse = H157, scalename = 21113121
1747: notes = 111100101110, scaleid = H34, rotationid = 0, modeid = H062, inverse = H240, scalename = 11132112
1748: notes = 111001011101, scaleid = H34, rotationid = 1, modeid = H117, inverse = H142, scalename = 11321121
1749: notes = 110010111011, scaleid = H34, rotationid = 2, modeid = H200, inverse = H077, scalename = 13211211
1750: notes = 100101110111, scaleid = H34, rotationid = 3, modeid = H319, inverse = H037, scalename = 32112111
1751: notes = 101110111100, scaleid = H34, rotationid = 4, modeid = H231, inverse = H301, scalename = 21121113
1752: notes = 111011110010, scaleid = H34, rotationid = 5, modeid = H073, inverse = H290, scalename = 11211132
1753: notes = 110111100101, scaleid = H34, rotationid = 6, modeid = H135, inverse = H178, scalename = 12111321
1754: notes = 101111001011, scaleid = H34, rotationid = 7, modeid = H229, inverse = H101, scalename = 21113211
1755: notes = 111011101100, scaleid = H35, rotationid = 0, modeid = H075, inverse = H312, scalename = 11211213
1756: notes = 110111011001, scaleid = H35, rotationid = 1, modeid = H139, inverse = H194, scalename = 12112131
1757: notes = 101110110011, scaleid = H35, rotationid = 2, modeid = H236, inverse = H112, scalename = 21121311
1758: notes = 111011001110, scaleid = H35, rotationid = 3, modeid = H087, inverse = H243, scalename = 11213112
1759: notes = 110110011101, scaleid = H35, rotationid = 4, modeid = H158, inverse = H144, scalename = 12131121
1760: notes = 101100111011, scaleid = H35, rotationid = 5, modeid = H263, inverse = H078, scalename = 21311211
1761: notes = 110011101110, scaleid = H35, rotationid = 6, modeid = H189, inverse = H233, scalename = 13112112
1762: notes = 100111011101, scaleid = H35, rotationid = 7, modeid = H306, inverse = H137, scalename = 31121121
1763: notes = 111011101010, scaleid = H36, rotationid = 0, modeid = H076, inverse = H284, scalename = 11211222
1764: notes = 110111010101, scaleid = H36, rotationid = 1, modeid = H141, inverse = H173, scalename = 12112221
1765: notes = 101110101011, scaleid = H36, rotationid = 2, modeid = H239, inverse = H097, scalename = 21122211
1766: notes = 111010101110, scaleid = H36, rotationid = 3, modeid = H097, inverse = H239, scalename = 11222112
1767: notes = 110101011101, scaleid = H36, rotationid = 4, modeid = H173, inverse = H141, scalename = 12221121
1768: notes = 101010111011, scaleid = H36, rotationid = 5, modeid = H284, inverse = H076, scalename = 22211211
1769: notes = 101011101110, scaleid = H36, rotationid = 6, modeid = H273, inverse = H232, scalename = 22112112
1770: notes = 101110111010, scaleid = H36, rotationid = 7, modeid = H232, inverse = H273, scalename = 21121122
1771: notes = 111011100110, scaleid = H37, rotationid = 0, modeid = H078, inverse = H263, scalename = 11211312
1772: notes = 110111001101, scaleid = H37, rotationid = 1, modeid = H144, inverse = H158, scalename = 12113121
1773: notes = 101110011011, scaleid = H37, rotationid = 2, modeid = H243, inverse = H087, scalename = 21131211
1774: notes = 111001101110, scaleid = H37, rotationid = 3, modeid = H112, inverse = H236, scalename = 11312112
1775: notes = 110011011101, scaleid = H37, rotationid = 4, modeid = H194, inverse = H139, scalename = 13121121
1776: notes = 100110111011, scaleid = H37, rotationid = 5, modeid = H312, inverse = H075, scalename = 31211211
1777: notes = 110111011100, scaleid = H37, rotationid = 6, modeid = H137, inverse = H306, scalename = 12112113
1778: notes = 101110111001, scaleid = H37, rotationid = 7, modeid = H233, inverse = H189, scalename = 21121131
1779: notes = 111011011100, scaleid = H38, rotationid = 0, modeid = H081, inverse = H307, scalename = 11212113
1780: notes = 110110111001, scaleid = H38, rotationid = 1, modeid = H149, inverse = H190, scalename = 12121131
1781: notes = 101101110011, scaleid = H38, rotationid = 2, modeid = H251, inverse = H109, scalename = 21211311
1782: notes = 110111001110, scaleid = H38, rotationid = 3, modeid = H143, inverse = H242, scalename = 12113112
1783: notes = 101110011101, scaleid = H38, rotationid = 4, modeid = H242, inverse = H143, scalename = 21131121
1784: notes = 111001110110, scaleid = H38, rotationid = 5, modeid = H109, inverse = H251, scalename = 11311212
1785: notes = 110011101101, scaleid = H38, rotationid = 6, modeid = H190, inverse = H149, scalename = 13112121
1786: notes = 100111011011, scaleid = H38, rotationid = 7, modeid = H307, inverse = H081, scalename = 31121211
1787: notes = 111011011010, scaleid = H39, rotationid = 0, modeid = H082, inverse = H279, scalename = 11212122
1788: notes = 110110110101, scaleid = H39, rotationid = 1, modeid = H151, inverse = H169, scalename = 12121221
1789: notes = 101101101011, scaleid = H39, rotationid = 2, modeid = H254, inverse = H094, scalename = 21212211
1790: notes = 110110101110, scaleid = H39, rotationid = 3, modeid = H153, inverse = H238, scalename = 12122112
1791: notes = 101101011101, scaleid = H39, rotationid = 4, modeid = H257, inverse = H140, scalename = 21221121
1792: notes = 110101110110, scaleid = H39, rotationid = 5, modeid = H165, inverse = H250, scalename = 12211212
1793: notes = 101011101101, scaleid = H39, rotationid = 6, modeid = H274, inverse = H148, scalename = 22112121
1794: notes = 101110110110, scaleid = H39, rotationid = 7, modeid = H234, inverse = H252, scalename = 21121212
1795: notes = 111011010110, scaleid = H40, rotationid = 0, modeid = H084, inverse = H258, scalename = 11212212
1796: notes = 110110101101, scaleid = H40, rotationid = 1, modeid = H154, inverse = H154, scalename = 12122121
1797: notes = 101101011011, scaleid = H40, rotationid = 2, modeid = H258, inverse = H084, scalename = 21221211
1798: notes = 110101101110, scaleid = H40, rotationid = 3, modeid = H168, inverse = H235, scalename = 12212112
1799: notes = 101011011101, scaleid = H40, rotationid = 4, modeid = H278, inverse = H138, scalename = 22121121
1800: notes = 101101110110, scaleid = H40, rotationid = 5, modeid = H249, inverse = H249, scalename = 21211212
1801: notes = 110111011010, scaleid = H40, rotationid = 6, modeid = H138, inverse = H278, scalename = 12112122
1802: notes = 101110110101, scaleid = H40, rotationid = 7, modeid = H235, inverse = H168, scalename = 21121221
1803: notes = 111010111010, scaleid = H41, rotationid = 0, modeid = H092, inverse = H275, scalename = 11221122
1804: notes = 110101110101, scaleid = H41, rotationid = 1, modeid = H166, inverse = H166, scalename = 12211221
1805: notes = 101011101011, scaleid = H41, rotationid = 2, modeid = H275, inverse = H092, scalename = 22112211
1806: notes = 101110101110, scaleid = H41, rotationid = 3, modeid = H237, inverse = H237, scalename = 21122112
1807: notes = 111010110110, scaleid = H42, rotationid = 0, modeid = H094, inverse = H254, scalename = 11221212
